date,UK Landings by UK Vessels,Landings Abroad by UK Vessels,UK Landings by Foreign Vessels
01012014,"60365","34858","8970"
01022014,"41559","32355","5687"
01032014,"32233","23768","2870"
01042014,"22270","11910","3163"
01052014,"22240","10072","3472"
01062014,"28913","5254","3026"
01072014,"36973","11466","5312"
01082014,"44098","30957","5620"
01092014,"39109","25307","10840"
01102014,"59222","79775","16277"
01112014,"42194","30377","4937"
01122014,"19943","12661","2519"
01012015,"42719","36506","3868"
01022015,"37074","27652","5654"
01032015,"25567","23282","3293"
01042015,"29123","15927","4416"
01052015,"21274","7669","3960"
01062015,"26397","9489","2865"
01072015,"38995","10411","3293"
01082015,"42059","34313","3787"
01092015,"39281","25253","3210"
01102015,"49362","42066","5682"
01112015,"47518","51736","3306"
01122015,"16346","8048","2714"
01012016,"44714","41601","5226"
01022016,"41582","29457","7339"
01032016,"33511","20829","3122"
01042016,"22012","19220","4368"
01052016,"23800","3163","3552"
01062016,"26607","6878","3326"
01072016,"36549","9473","8366"
01082016,"45881","33246","3158"
01092016,"35826","14604","1908"